"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"AUT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"BEL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"CAN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"CZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"DNK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"FIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"FRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"DEU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"GRC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"HUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ISL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"IRL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"ITA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"JPN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"KOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"LUX","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"MEX","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"NLD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"NZL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"NOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"POL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"PRT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"SVK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"ESP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"SWE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"CHE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"TUR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"GBR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"USA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ALB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"DZA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"ARG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"ARM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"AZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"BGD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"BIH","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"BRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"BGR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"KHM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"CHL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"CHN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"COL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"HRV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"CYP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"EGY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"EST","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"ETH","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"GEO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"GHA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"HTI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"HKG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"IND","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"IDN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"IRN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"ISR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"KAZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"LVA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"LTU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"MKD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"MYS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"MDA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"MOZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"NGA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"PAK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"PRY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"PER","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"PHL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"ROU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"SAU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"SGP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"SVN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ZAF","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"SDN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"TZA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"THA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"UKR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ARE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"URY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"VNM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"ZMB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"SRB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"AUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.8,
"AUS","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"AUT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",15,
"BEL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"CAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.6,
"CAN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",44.1,
"CZE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"DNK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"FIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.2,
"FIN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"FRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5.5,
"FRA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"DEU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"DEU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"GRC","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"HUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.5,
"HUN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"ISL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"IRL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"ITA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.1,
"ITA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"JPN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.8,
"JPN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",20,
"KOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41.1,
"LUX","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",20,
"MEX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.8,
"MEX","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"NLD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.1,
"NLD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"NZL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.9,
"NZL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"NOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.1,
"NOR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",20,
"POL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.7,
"POL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",13,
"PRT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"SVK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"ESP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.6,
"ESP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",15,
"SWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.1,
"SWE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"CHE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.1,
"CHE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",12,
"TUR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6,
"TUR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",32,
"GBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12.3,
"GBR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"USA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.9,
"USA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",26,
"ALB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"ALB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",13,
"DZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"ARG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.1,
"ARM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3.7,
"ARM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",10,
"AZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",24,
"AZE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",14,
"BGD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17,
"BGD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",50,
"BIH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1,
"BRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.7,
"BRA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"BGR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",18.3,
"BGR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"KHM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46,
"KHM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"CHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.3,
"CHL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"CHN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.6,
"CHN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"COL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12.3,
"COL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",30,
"HRV","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",13,
"CYP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",16,
"EGY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",34.7,
"EGY","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",30,
"EST","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.8,
"EST","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"ETH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.7,
"ETH","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",37,
"GEO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8.7,
"GEO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",10,
"GHA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",37,
"GHA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"HTI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23,
"HTI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"HKG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",26.4,
"IND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41,
"IND","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",35,
"IDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",20.2,
"IRN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.8,
"KAZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",37.4,
"LVA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"LTU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",22,
"MKD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11,
"MKD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",13,
"MYS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",55.3,
"MDA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13,
"MDA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"MOZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14,
"MOZ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",30,
"NGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29.3,
"NGA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"PAK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",51,
"PAK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",29,
"PRY","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"PER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.4,
"PER","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"PHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",53.6,
"PHL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",14,
"ROU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8.5,
"ROU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"SGP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.8,
"SVN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.1,
"SVN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"ZAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7,
"ZAF","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"SDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",36,
"TZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",59,
"TZA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"THA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8,
"THA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"UKR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.1,
"UKR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18,
"URY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"VNM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",56.9,
"VNM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",25,
"ZMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",47,
"ZMB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",41,
"SRB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2,
"SRB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",17,
"AFG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",78,
"AGO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"AGO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"BHR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"BEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"BEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29,
"BTN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"BTN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",70,
"BOL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"BOL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",22.1,
"BOL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",42,
"BWA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"BWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23.1,
"BFA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"BFA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",39,
"BFA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
"BDI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"BDI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",63,
"CMR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"CMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",28,
"CMR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",39,
"CAF","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"CAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",61,
"TCD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"TCD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",74,
"TCD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",29,
"COG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"COG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",56,
"CRI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"CRI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"CIV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"CIV","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"CUB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"COD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"COD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",60,
"COD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",47,
"DOM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"DOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"DOM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",19,
