Economy,Year,Economy Code,"Population, total"
Aruba,2022,ABW,106445
Afghanistan,2022,AFG,41128771
Angola,2022,AGO,35588987
Albania,2022,ALB,2775634
Andorra,2022,AND,79824
United Arab Emirates,2022,ARE,9441129
Argentina,2022,ARG,46234830
Armenia,2022,ARM,2780469
American Samoa,2022,ASM,44273
Antigua and Barbuda,2022,ATG,93763
Australia,2022,AUS,25978935
Austria,2022,AUT,9042528
Azerbaijan,2022,AZE,10175016
Burundi,2022,BDI,12889576
Belgium,2022,BEL,11669446
Benin,2022,BEN,13352864
Burkina Faso,2022,BFA,22673762
Bangladesh,2022,BGD,171186372
Bulgaria,2022,BGR,6465097
Bahrain,2022,BHR,1472233
"Bahamas, The",2022,BHS,409984
Bosnia and Herzegovina,2022,BIH,3233526
Belarus,2022,BLR,9208701
Belize,2022,BLZ,405272
Bermuda,2022,BMU,63532
Bolivia,2022,BOL,12224110
Brazil,2022,BRA,215313498
Barbados,2022,BRB,281635
Brunei Darussalam,2022,BRN,449002
Bhutan,2022,BTN,782455
Botswana,2022,BWA,2630296
Central African Republic,2022,CAF,5579144
Canada,2022,CAN,38929902
Switzerland,2022,CHE,8769741
Channel Islands,2022,CHI,174079
Chile,2022,CHL,19603733
China,2022,CHN,1412175000
Cote d'Ivoire,2022,CIV,28160542
Cameroon,2022,CMR,27914536
"Congo, Dem. Rep.",2022,COD,99010212
"Congo, Rep.",2022,COG,5970424
Colombia,2022,COL,51874024
Comoros,2022,COM,836774
Cabo Verde,2022,CPV,593149
Costa Rica,2022,CRI,5180829
Cuba,2022,CUB,11212191
Curacao,2022,CUW,149996
Cayman Islands,2022,CYM,68706
Cyprus,2022,CYP,1251488
Czechia,2022,CZE,10526073
Germany,2022,DEU,84079811
Djibouti,2022,DJI,1120849
Dominica,2022,DMA,72737
Denmark,2022,DNK,5903037
Dominican Republic,2022,DOM,11228821
Algeria,2022,DZA,44903225
Ecuador,2022,ECU,18001000
"Egypt, Arab Rep.",2022,EGY,110990103
Eritrea,2022,ERI,3684032
Spain,2022,ESP,47615034
Estonia,2022,EST,1344768
Ethiopia,2022,ETH,123379924
Finland,2022,FIN,5556880
Fiji,2022,FJI,929766
France,2022,FRA,67935660
Faroe Islands,2022,FRO,53090
"Micronesia, Fed. Sts.",2022,FSM,114164
Gabon,2022,GAB,2388992
United Kingdom,2022,GBR,66971411
Georgia,2022,GEO,3712502
Ghana,2022,GHA,33475870
Gibraltar,2022,GIB,32649
Guinea,2022,GIN,13859341
"Gambia, The",2022,GMB,2705992
Guinea-Bissau,2022,GNB,2105566
Equatorial Guinea,2022,GNQ,1674908
Greece,2022,GRC,10566531
Grenada,2022,GRD,125438
Greenland,2022,GRL,56661
Guatemala,2022,GTM,17357886
Guam,2022,GUM,171774
Guyana,2022,GUY,808726
"Hong Kong SAR, China",2022,HKG,7346100
Honduras,2022,HND,10432860
Croatia,2022,HRV,3854000
Haiti,2022,HTI,11584996
Hungary,2022,HUN,9683505
Indonesia,2022,IDN,275501339
Isle of Man,2022,IMN,84519
India,2022,IND,1417173173
Ireland,2022,IRL,5086988
"Iran, Islamic Rep.",2022,IRN,88550570
Iraq,2022,IRQ,44496122
Iceland,2022,ISL,381900
Israel,2022,ISR,9550600
Italy,2022,ITA,58856847
Jamaica,2022,JAM,2827377
Jordan,2022,JOR,11285869
Japan,2022,JPN,125124989
Kazakhstan,2022,KAZ,19621972
Kenya,2022,KEN,54027487
Kyrgyz Republic,2022,KGZ,6803300
Cambodia,2022,KHM,16767842
Kiribati,2022,KIR,131232
St. Kitts and Nevis,2022,KNA,47657
"Korea, Rep.",2022,KOR,51628117
Kuwait,2022,KWT,4268873
Lao PDR,2022,LAO,7529475
Lebanon,2022,LBN,5489739
Liberia,2022,LBR,5302681
Libya,2022,LBY,6812341
St. Lucia,2022,LCA,179857
Liechtenstein,2022,LIE,39327
Sri Lanka,2022,LKA,22181000
Lesotho,2022,LSO,2305825
Lithuania,2022,LTU,2833000
Luxembourg,2022,LUX,650774
Latvia,2022,LVA,1883379
"Macao SAR, China",2022,MAC,695168
St. Martin (French part),2022,MAF,31791
Morocco,2022,MAR,37457971
Monaco,2022,MCO,36469
Moldova,2022,MDA,2592477
Madagascar,2022,MDG,29611714
Maldives,2022,MDV,523787
Mexico,2022,MEX,127504125
Marshall Islands,2022,MHL,41569
North Macedonia,2022,MKD,2057679
Mali,2022,MLI,22593590
Malta,2022,MLT,523417
Myanmar,2022,MMR,54179306
Montenegro,2022,MNE,616159
Mongolia,2022,MNG,3398366
Northern Mariana Islands,2022,MNP,49551
Mozambique,2022,MOZ,32969518
Mauritania,2022,MRT,4736139
Mauritius,2022,MUS,1262523
Malawi,2022,MWI,20405317
Malaysia,2022,MYS,33938221
Namibia,2022,NAM,2567012
New Caledonia,2022,NCL,276780
Niger,2022,NER,26207977
Nigeria,2022,NGA,218541212
Nicaragua,2022,NIC,6948392
Netherlands,2022,NLD,17703090
Norway,2022,NOR,5457127
Nepal,2022,NPL,30547580
