"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.8,
"CAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.6,
"FIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.2,
"FRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5.5,
"DEU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.5,
"HUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.5,
"ITA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.1,
"JPN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.8,
"KOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41.1,
"MEX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.8,
"NLD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7.1,
"NZL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2.9,
"NOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.1,
"POL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.7,
"ESP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.6,
"SWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.1,
"CHE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.1,
"TUR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6,
"GBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12.3,
"USA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.9,
"ALB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"DZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",25,
"ARG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.1,
"ARM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3.7,
"AZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",24,
"BGD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17,
"BIH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",1,
"BRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.7,
"BGR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",18.3,
"KHM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46,
"CHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.3,
"CHN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14.6,
"COL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12.3,
"EGY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",34.7,
"EST","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.8,
"ETH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.7,
"GEO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8.7,
"GHA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",37,
"HTI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23,
"IND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41,
"IDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",20.2,
"IRN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",9.8,
"KAZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",37.4,
"MKD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11,
"MYS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",55.3,
"MDA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13,
"MOZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",14,
"NGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29.3,
"PAK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",51,
"PER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.4,
"PHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",53.6,
"ROU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8.5,
"SGP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",13.8,
"SVN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17.1,
"ZAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",7,
"SDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",36,
"TZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",59,
"THA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",8,
"UKR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31.1,
"URY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"VNM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",56.9,
"ZMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",47,
"SRB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",2,
"AFG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",78,
"BEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",29,
"BTN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",70,
"BOL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",22.1,
"BWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23.1,
"BFA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",39,
"BDI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",63,
"CMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",28,
"CAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",61,
"TCD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",74,
"COG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",56,
"COD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",60,
"DOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",3,
"ECU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",20.2,
"GNQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",57,
